host,timestamp,dataset
40.77.167.120,2020-03-18T14:58:06,best_wish114491
40.77.167.120,2020-03-18T17:09:42,best_wish47228
207.46.13.150,2020-03-18T22:01:41,best_wish90734
207.46.13.150,2020-03-19T02:40:06,best_wish114515
119.147.211.231,2020-03-19T04:45:52,grandchallenge
151.80.39.47,2020-03-19T07:19:50,most_science_parks_electricity
5.196.87.151,2020-03-19T09:03:12,sipa_sewage
151.80.39.47,2020-03-19T09:11:22,stsp_sewage
140.112.70.50,2020-03-19T09:37:42,mnist
40.77.167.1,2020-03-19T10:10:22,best_wish114491
5.196.87.151,2020-03-19T13:59:00,stsp_sewage
151.80.39.47,2020-03-19T13:59:21,stsp_sewage
151.80.39.47,2020-03-19T14:01:42,stsp_sewage
124.219.98.35,2020-03-19T17:27:36,grandchallenge
40.77.167.142,2020-03-19T23:23:30,best_wish114642
52.5.70.31,2020-03-20T02:48:10,best_wish37201
52.5.70.31,2020-03-20T02:49:51,best_wish37201
157.55.39.88,2020-03-20T04:07:27,best_wish90734
40.77.167.145,2020-03-20T07:58:24,best_wish101993
157.55.39.73,2020-03-20T09:17:13,best_wish90734
66.249.66.23,2020-03-20T09:29:42,coco
66.249.66.23,2020-03-20T09:55:53,best_wish35378
211.21.193.25,2020-03-20T10:38:26,mnist
223.137.126.94,2020-03-20T10:59:51,grandchallenge
210.242.152.7,2020-03-20T12:19:03,2019_fs5_4_tc
210.242.152.7,2020-03-20T12:23:18,2019_fs5_4_tc
40.77.167.27,2020-03-20T13:12:32,best_wish114495
223.137.126.94,2020-03-20T13:20:03,grandchallenge
223.137.126.94,2020-03-20T13:42:47,grandchallenge
223.137.126.94,2020-03-20T15:00:12,grandchallenge
223.137.126.94,2020-03-20T15:00:10,grandchallenge
157.55.39.88,2020-03-20T15:14:10,grandchallenge
223.137.126.94,2020-03-20T15:11:28,grandchallenge
223.137.126.94,2020-03-20T15:11:29,grandchallenge
40.77.189.198,2020-03-20T16:19:04,grandchallenge
203.67.7.55,2020-03-21T17:51:20,grandchallenge
52.4.104.152,2020-03-21T22:52:39,best_wish37201
157.55.39.73,2020-03-22T00:47:10,best_wish32246
151.80.39.47,2020-03-22T01:57:14,stsp_sewage
5.196.87.151,2020-03-22T06:02:13,stsp_sewage
5.196.87.151,2020-03-22T14:17:03,yylake
5.196.87.151,2020-03-22T17:08:11,stsp_sewage
140.126.11.121,2020-03-22T17:52:18,grandchallenge
140.126.11.121,2020-03-22T18:25:07,grandchallenge
140.126.11.121,2020-03-22T19:04:58,grandchallenge
140.126.11.121,2020-03-22T19:05:01,grandchallenge
140.126.11.121,2020-03-22T19:12:47,grandchallenge
140.126.11.121,2020-03-22T20:42:48,grandchallenge
151.80.39.47,2020-03-22T21:41:45,sipa_sewage
151.80.39.47,2020-03-22T21:42:06,ppmp
151.80.39.47,2020-03-23T00:12:13,yylake
151.80.39.47,2020-03-23T00:12:54,flycircuit
151.80.39.47,2020-03-23T00:13:04,flycircuit
52.4.104.152,2020-03-23T02:03:13,best_wish37201
52.4.104.152,2020-03-23T02:23:48,best_wish37201
61.216.75.235,2020-03-23T12:29:25,grandchallenge
61.216.75.235,2020-03-23T12:29:45,grandchallenge
61.216.75.235,2020-03-23T13:03:27,grandchallenge
61.216.75.235,2020-03-23T13:03:55,grandchallenge
207.46.13.85,2020-03-23T13:31:54,best_wish34817
61.216.75.235,2020-03-23T13:58:03,grandchallenge
211.72.106.4,2020-03-23T16:33:01,stusteecs_chinese_mnist
207.46.13.85,2020-03-23T17:05:43,best_wish114515
211.72.106.4,2020-03-23T17:15:55,stusteecs_chinese_mnist
125.227.140.245,2020-03-23T17:27:53,grandchallenge
125.227.140.245,2020-03-23T17:27:53,grandchallenge
61.216.75.235,2020-03-23T19:41:29,grandchallenge
61.216.75.235,2020-03-23T19:43:35,grandchallenge
207.46.13.33,2020-03-23T23:19:36,best_wish90734
114.250.181.148,2020-03-10T03:24:11,isolet
40.77.167.168,2020-03-10T06:13:16,best_wish27102
163.20.177.14,2020-03-10T09:41:42,2019_fs5_4_yl
163.20.177.14,2020-03-10T11:19:47,2019_fs5_4_yl
163.20.177.14,2020-03-10T11:22:26,2019_fs5_4_yl
157.55.39.192,2020-03-10T12:24:42,best_wish114528
49.82.156.141,2020-03-10T12:43:21,best_wish112686
116.248.186.244,2020-03-10T18:13:12,best_wish110420
140.125.12.78,2020-03-10T20:40:25,mnist
182.244.165.154,2020-03-10T21:36:01,stsp_air
220.136.20.128,2020-03-10T23:09:15,2019_fs5_4_tp
220.136.20.128,2020-03-10T23:53:20,2019_fs5_4_tp
114.103.176.65,2020-03-11T11:45:22,best_wish99251
120.124.84.36,2020-03-11T14:44:15,mnist
159.138.155.119,2020-03-11T17:14:25,best_wish111124
40.77.167.166,2020-03-11T21:12:39,best_wish27065
207.46.13.209,2020-03-11T23:34:00,best_wish109394
40.77.167.15,2020-03-12T19:57:52,best_wish109393
5.45.207.63,2020-03-13T09:48:49,best_wish118578
157.55.39.3,2020-03-13T10:13:10,best_wish109394
114.33.221.216,2020-03-13T11:55:21,2019_fs5_4_tt
114.33.221.216,2020-03-13T11:57:28,2019_fs5_4_tt
114.33.221.216,2020-03-13T12:04:53,2019_fs5_4_tt
157.55.39.3,2020-03-13T12:11:14,best_wish89792
157.55.39.12,2020-03-13T19:28:33,best_wish46302
157.55.39.244,2020-03-13T20:21:16,best_wish114491
40.77.167.99,2020-03-13T21:16:48,best_wish90734
213.177.107.170,2020-03-13T21:54:32,best_wish37204
125.231.142.249,2020-03-13T22:44:58,l4f
125.231.142.249,2020-03-13T22:47:26,l4f
125.231.142.249,2020-03-13T22:47:43,l4f
125.231.142.249,2020-03-13T22:46:56,l4f
125.231.142.249,2020-03-13T22:48:07,l4f
125.231.142.249,2020-03-13T22:49:27,l4f
125.231.142.249,2020-03-13T22:48:25,l4f
125.231.142.249,2020-03-13T22:49:05,l4f
125.231.142.249,2020-03-13T22:50:48,l4f
125.231.142.249,2020-03-13T23:00:09,l4f
125.231.142.249,2020-03-13T23:00:15,l4f
125.231.142.249,2020-03-13T23:00:53,l4f
125.231.142.249,2020-03-13T23:01:08,l4f
157.55.39.12,2020-03-14T12:22:44,best_wish101993
114.33.221.216,2020-03-14T19:37:59,l4i
157.55.39.12,2020-03-15T04:50:40,best_wish101993
114.33.221.216,2020-03-15T13:38:55,l4i
114.33.221.216,2020-03-15T13:39:07,l4i
114.33.221.216,2020-03-15T13:43:44,l4i
114.33.221.216,2020-03-15T13:41:41,l4i
114.33.221.216,2020-03-15T13:44:42,l4i
114.33.221.216,2020-03-15T13:44:47,l4i
125.231.142.249,2020-03-15T14:09:16,2019_fs5_4_cy
125.231.142.249,2020-03-15T14:09:21,2019_fs5_4_cy
125.231.142.249,2020-03-15T14:09:39,2019_fs5_4_cy
125.231.142.249,2020-03-15T14:10:06,2019_fs5_4_cy
125.231.142.249,2020-03-15T14:33:37,l4g
125.231.142.249,2020-03-15T14:33:40,l4g
125.231.142.249,2020-03-15T14:33:43,l4g
125.231.142.249,2020-03-15T14:33:56,l4g
125.231.142.249,2020-03-15T14:33:51,l4g
125.231.142.249,2020-03-15T14:34:16,l4g
125.231.142.249,2020-03-15T14:34:35,l4g
125.231.142.249,2020-03-15T14:34:40,l4g
125.231.142.249,2020-03-15T14:48:06,l4g
125.231.142.249,2020-03-15T14:59:41,l4g
125.231.142.249,2020-03-15T15:00:51,l4g
125.231.142.249,2020-03-15T15:00:37,l4g
125.231.142.249,2020-03-15T15:10:18,l4g
125.231.142.249,2020-03-15T15:10:23,l4g
125.231.142.249,2020-03-15T15:10:27,l4g
114.33.221.216,2020-03-15T15:39:39,2019_fs5_4_tt
5.45.207.63,2020-03-15T15:47:18,best_wish118578
40.77.167.25,2020-03-15T17:56:11,mnist
40.77.188.71,2020-03-15T19:02:05,mnist
220.135.120.247,2020-03-15T21:08:16,nchc_2019_te_04
220.135.120.247,2020-03-15T21:09:28,nchc_2019_te_04
5.45.207.63,2020-03-16T01:54:18,best_wish7286
157.55.39.12,2020-03-16T14:43:43,best_wish32032
60.160.143.99,2020-03-16T14:47:37,best_wish107883
157.55.39.12,2020-03-16T14:51:30,best_wish114519
157.55.39.12,2020-03-16T19:11:52,grandchallenge
40.77.190.79,2020-03-16T20:14:23,grandchallenge
157.55.39.12,2020-03-16T23:13:33,best_wish114532
114.119.160.32,2020-03-17T00:16:37,insight_classifiction_dataset_7_4
5.45.207.63,2020-03-17T01:26:50,best_wish7286
157.55.39.136,2020-03-17T06:54:55,best_wish114491
207.46.13.80,2020-03-17T08:35:08,best_wish101993
151.80.39.47,2020-03-17T10:37:29,grandchallenge
203.72.100.99,2020-03-17T14:54:11,2019_fs5_4_ty
203.72.100.99,2020-03-17T14:57:01,2019_fs5_4_tc
203.72.100.99,2020-03-17T14:59:01,2019_fs5_4_tc
203.72.100.99,2020-03-17T15:02:00,2019_fs5_4_tc
203.72.100.99,2020-03-17T15:01:33,2019_fs5_4_tc
203.72.100.99,2020-03-17T15:12:22,2019_fs5_4_tp
203.72.100.99,2020-03-17T15:17:34,2019_fs5_4_ch
203.72.100.99,2020-03-17T15:18:09,2019_fs5_4_ch
203.72.100.99,2020-03-17T15:19:48,2019_fs5_4_ch
60.251.148.54,2020-03-17T16:06:02,mnist
60.251.148.54,2020-03-17T17:18:28,mnist
5.196.87.151,2020-03-17T19:02:30,nchc_2019_au_03
151.80.39.47,2020-03-17T19:01:43,nchc_2019_au_03
5.196.87.151,2020-03-17T19:02:10,nchc_2019_au_03
5.196.87.151,2020-03-17T19:04:00,nchc_2019_te_01
5.196.87.151,2020-03-17T19:03:10,nchc_2019_au_03
151.80.39.47,2020-03-17T19:04:20,nchc_2019_te_01
151.80.39.47,2020-03-17T19:07:03,nchc_2019_te_04
151.80.39.47,2020-03-17T19:09:50,nchc_2019_te_06
203.72.100.99,2020-03-17T19:35:08,2019_fs5_4_nt
203.72.100.99,2020-03-17T19:36:03,2019_fs5_4_nt
203.72.100.99,2020-03-17T19:35:13,2019_fs5_4_nt
203.72.100.99,2020-03-17T19:38:17,2019_fs5_4_nt
203.72.100.99,2020-03-17T19:43:53,2019_fs5_4_nt
151.80.39.47,2020-03-17T20:00:25,nchc_2019_au_02
5.196.87.151,2020-03-17T20:02:15,nchc_2019_au_03
114.119.165.130,2020-03-17T20:56:02,best_wish67540
5.196.87.151,2020-03-17T20:57:36,ppmp
151.80.39.47,2020-03-17T21:02:19,ppmp
151.80.39.47,2020-03-17T21:04:49,sipa_sewage
151.80.39.47,2020-03-17T21:03:19,ppmp
5.196.87.151,2020-03-17T21:05:29,sipa_sewage
151.80.39.47,2020-03-17T21:05:59,sipa_sewage
5.196.87.151,2020-03-17T21:07:49,sipa_sewage
151.80.39.47,2020-03-17T21:06:59,sipa_sewage
5.196.87.151,2020-03-17T21:14:15,stsp_sewage
5.196.87.151,2020-03-17T21:13:12,stsp_air
5.196.87.151,2020-03-17T21:59:23,sipa_air
5.196.87.151,2020-03-18T01:07:27,mi3
5.196.87.151,2020-03-18T01:09:36,mi3
5.196.87.151,2020-03-18T01:10:06,mi3
151.80.39.47,2020-03-18T01:10:26,mi3
5.196.87.151,2020-03-18T01:10:36,mi3
5.196.87.151,2020-03-18T01:11:16,mi3
5.45.207.63,2020-03-18T03:26:17,best_wish118982
157.55.39.40,2020-03-18T08:26:32,best_wish101993
151.80.39.47,2020-03-18T09:33:00,best_wish7273
120.119.126.121,2020-03-18T09:32:56,mnist
120.119.126.121,2020-03-18T09:34:27,mnist
120.119.126.121,2020-03-18T09:34:30,mnist
120.119.126.121,2020-03-18T09:34:45,mnist
5.196.87.151,2020-03-18T09:34:50,best_wish7286
5.196.87.151,2020-03-18T09:41:00,ctsp_air
151.80.39.47,2020-03-18T09:42:00,ctsp_air
151.80.39.47,2020-03-18T09:43:00,ctsp_air
151.80.39.47,2020-03-18T09:43:46,ctsp_air
151.80.39.47,2020-03-18T09:49:46,ctsp_sewage
151.80.39.47,2020-03-18T09:51:49,ctsp_sewage
5.196.87.151,2020-03-18T09:52:29,ctsp_sewage
101.224.37.213,2020-03-18T10:14:38,grandchallenge
151.80.39.47,2020-03-18T11:37:19,ctsp_sewage
210.242.152.7,2020-03-18T12:29:27,2019_fs5_4_tc
210.242.152.7,2020-03-18T12:32:06,2019_fs5_4_tc
40.77.167.51,2020-03-18T12:39:23,best_wish90734
151.80.39.47,2020-03-18T14:02:47,datamarketdocs
151.80.39.47,2020-03-18T14:02:57,datamarketdocs
5.196.87.151,2020-03-18T15:19:37,mi3
151.80.39.47,2020-03-18T17:28:37,datamarketdocs
5.45.207.63,2020-03-18T19:52:47,best_wish6343
5.196.87.151,2020-03-18T22:16:21,ppmp
5.196.87.151,2020-03-19T09:02:32,sipa_sewage
151.80.39.47,2020-03-19T09:10:32,stsp_sewage
140.112.70.50,2020-03-19T09:41:43,mnist
151.80.39.47,2020-03-19T14:01:02,stsp_sewage
151.80.39.47,2020-03-19T14:01:22,stsp_sewage
101.224.37.213,2020-03-19T14:35:30,grandchallenge
125.227.69.224,2020-03-19T16:10:34,grandchallenge
157.55.39.89,2020-03-19T22:07:34,best_wish114515
40.77.167.27,2020-03-20T02:09:25,best_wish47228
66.249.66.25,2020-03-20T08:26:28,coco
210.242.152.7,2020-03-20T12:14:03,2019_fs5_4_tc
210.242.152.7,2020-03-20T12:47:23,2019_fs5_4_tc
223.137.126.94,2020-03-20T13:09:41,grandchallenge
223.137.126.94,2020-03-20T13:35:26,grandchallenge
223.137.126.94,2020-03-20T14:35:57,grandchallenge
223.137.126.94,2020-03-20T15:00:13,grandchallenge
40.77.188.25,2020-03-20T16:18:53,grandchallenge
151.80.39.47,2020-03-20T16:27:25,stsp_air
151.80.39.47,2020-03-20T16:27:46,stsp_sewage
120.107.167.140,2020-03-20T18:15:20,mnist
182.155.208.47,2020-03-21T01:44:02,best_wish119458
157.55.39.73,2020-03-21T09:24:00,best_wish114527
40.77.167.68,2020-03-21T13:50:54,best_wish67500
157.55.39.73,2020-03-21T14:05:28,best_wish101993
60.251.158.88,2020-03-21T14:53:19,mnist
157.55.39.73,2020-03-21T14:59:16,best_wish114518
119.77.246.210,2020-03-21T15:17:00,stusteecs_chinese_mnist
157.55.39.178,2020-03-21T16:36:16,best_wish114531
157.55.39.153,2020-03-21T21:54:02,best_wish24393
5.196.87.151,2020-03-21T23:00:08,sipa_sewage
5.196.87.151,2020-03-22T05:55:23,most_science_parks_electricity
5.196.87.151,2020-03-22T06:08:43,datamarketdocs
157.55.39.153,2020-03-22T08:40:21,best_wish114515
151.80.39.47,2020-03-22T12:16:23,stsp_air
5.196.87.151,2020-03-22T17:04:40,stsp_air
140.126.11.121,2020-03-22T17:21:57,grandchallenge
140.126.11.121,2020-03-22T17:52:41,grandchallenge
140.126.11.121,2020-03-22T18:52:59,grandchallenge
151.80.39.47,2020-03-22T19:20:03,ppmp
5.196.87.151,2020-03-22T21:08:40,yylake
151.80.39.47,2020-03-22T21:09:29,yylake
5.196.87.151,2020-03-22T21:09:41,yylake
5.196.87.151,2020-03-23T00:11:34,yylake
151.80.39.47,2020-03-23T00:12:24,yylake
36.89.170.186,2020-03-23T00:22:15,best_wish37204
193.222.202.50,2020-03-23T01:26:22,best_wish37204
207.46.13.250,2020-03-23T02:18:09,best_wish27058
207.46.13.250,2020-03-23T06:22:18,best_wish101996
61.216.75.235,2020-03-23T13:03:07,grandchallenge
52.5.70.31,2020-03-23T13:52:22,best_wish37201
207.46.13.33,2020-03-23T15:30:32,best_wish90734
207.46.13.33,2020-03-23T16:10:21,best_wish34822
211.72.106.4,2020-03-23T16:32:58,stusteecs_chinese_mnist
52.5.70.31,2020-03-23T16:43:00,best_wish37201
207.46.13.151,2020-03-23T19:12:42,best_wish46798
61.216.75.235,2020-03-23T19:23:26,grandchallenge
61.216.75.235,2020-03-23T19:41:21,grandchallenge
125.231.119.71,2020-03-23T22:06:00,grandchallenge
207.46.13.85,2020-03-23T22:55:05,best_wish114515
115.208.75.253,2020-03-10T09:10:15,insight_classifiction_dataset_4_9
140.123.211.70,2020-03-10T09:45:32,mnist
140.123.211.70,2020-03-10T10:06:55,mnist
163.20.177.14,2020-03-10T11:38:45,2019_fs5_4_yl
112.113.155.114,2020-03-10T11:42:54,leaf
117.65.40.218,2020-03-10T13:13:19,best_wish112511
106.40.181.227,2020-03-10T13:52:47,best_wish112717
185.104.184.106,2020-03-10T17:09:24,best_wish27060
140.125.12.78,2020-03-10T20:20:35,mnist
140.125.12.78,2020-03-10T20:40:02,mnist
220.136.20.128,2020-03-10T23:36:12,2019_fs5_4_tp
220.136.20.128,2020-03-10T23:36:32,2019_fs5_4_tp
220.136.20.128,2020-03-10T23:43:43,2019_fs5_4_tp
220.136.20.128,2020-03-10T23:45:45,2019_fs5_4_tp
220.136.20.128,2020-03-10T23:45:57,2019_fs5_4_tp
223.215.176.139,2020-03-11T00:54:57,insight_classifiction_dataset_5_6
115.209.73.151,2020-03-11T01:59:35,insight_classifiction_dataset_6_1
114.119.167.35,2020-03-11T05:02:46,best_wish8300
59.62.81.233,2020-03-11T12:20:25,insight_classifiction_dataset_6_3
216.244.66.237,2020-03-11T12:33:08,aclclp
114.99.160.146,2020-03-11T12:39:14,insight_classifiction_dataset_4_2
37.9.113.191,2020-03-11T16:09:40,best_wish118579
125.106.81.57,2020-03-11T17:00:59,sipa_air
117.60.49.134,2020-03-11T17:14:11,best_wish111124
157.55.39.244,2020-03-12T13:44:38,best_wish22114
114.119.166.164,2020-03-12T22:44:04,northix
140.237.255.16,2020-03-13T05:25:20,best_wish24831
114.33.221.216,2020-03-13T11:57:22,2019_fs5_4_tt
114.33.221.216,2020-03-13T14:28:05,2019_fs5_4_tt
114.33.221.216,2020-03-13T14:30:09,2019_fs5_4_tt
157.55.39.244,2020-03-13T21:20:49,best_wish114528
125.231.142.249,2020-03-13T22:44:52,l4f
125.231.142.249,2020-03-13T22:46:42,l4f
125.231.142.249,2020-03-13T22:47:34,l4f
125.231.142.249,2020-03-13T22:48:52,l4f
125.231.142.249,2020-03-13T22:50:32,l4f
125.231.142.249,2020-03-13T22:59:18,l4f
125.231.142.249,2020-03-13T23:00:04,l4f
125.231.142.249,2020-03-13T23:01:02,l4f
117.64.234.26,2020-03-14T01:05:55,best_wish98950
111.242.202.46,2020-03-14T12:32:03,l4i
40.77.167.123,2020-03-14T16:26:54,best_wish35164
175.153.168.16,2020-03-15T00:31:17,insight_classifiction_dataset_5_6
157.55.39.12,2020-03-15T05:31:30,best_wish114491
114.33.221.216,2020-03-15T13:39:00,l4i
114.33.221.216,2020-03-15T13:38:48,l4i
114.33.221.216,2020-03-15T13:41:52,l4i
114.33.221.216,2020-03-15T13:42:18,l4i
